gwicid,date,month,SGI
130860,2005-12-31,12,0.1348137463124648
130860,2006-01-31,1,
130860,2006-02-28,2,
130860,2006-03-31,3,1.3832325969182595
130860,2006-04-30,4,
130860,2006-05-31,5,
130860,2006-06-30,6,
130860,2006-07-31,7,
130860,2006-08-31,8,
130860,2006-09-30,9,
130860,2006-10-31,10,
130860,2006-11-30,11,
130860,2006-12-31,12,0.06947041626976946
130860,2007-01-31,1,
130860,2007-02-28,2,
130860,2007-03-31,3,
130860,2007-04-30,4,
130860,2007-05-31,5,
130860,2007-06-30,6,
130860,2007-07-31,7,
130860,2007-08-31,8,
130860,2007-09-30,9,
130860,2007-10-31,10,
130860,2007-11-30,11,
130860,2007-12-31,12,
130860,2008-01-31,1,
130860,2008-02-29,2,
130860,2008-03-31,3,
130860,2008-04-30,4,
130860,2008-05-31,5,
130860,2008-06-30,6,
130860,2008-07-31,7,1.0396511593516007
130860,2008-08-31,8,
130860,2008-09-30,9,
130860,2008-10-31,10,
130860,2008-11-30,11,
130860,2008-12-31,12,
130860,2009-01-31,1,
130860,2009-02-28,2,
130860,2009-03-31,3,
130860,2009-04-30,4,
130860,2009-05-31,5,
130860,2009-06-30,6,
130860,2009-07-31,7,
130860,2009-08-31,8,
130860,2009-09-30,9,
130860,2009-10-31,10,
130860,2009-11-30,11,
130860,2009-12-31,12,
130860,2010-01-31,1,
130860,2010-02-28,2,
130860,2010-03-31,3,
130860,2010-04-30,4,
130860,2010-05-31,5,
130860,2010-06-30,6,
130860,2010-07-31,7,
130860,2010-08-31,8,
130860,2010-09-30,9,
130860,2010-10-31,10,
130860,2010-11-30,11,
130860,2010-12-31,12,-0.24063423596799782
130860,2011-01-31,1,
130860,2011-02-28,2,
130860,2011-03-31,3,-0.5080814884077505
130860,2011-04-30,4,
130860,2011-05-31,5,
130860,2011-06-30,6,0.004255185507941572
130860,2011-07-31,7,
130860,2011-08-31,8,
130860,2011-09-30,9,0.3844150208455819
130860,2011-10-31,10,
130860,2011-11-30,11,
130860,2011-12-31,12,
130860,2012-01-31,1,
130860,2012-02-29,2,
130860,2012-03-31,3,-0.3550462988942633
130860,2012-04-30,4,
130860,2012-05-31,5,0.056696901161293
130860,2012-06-30,6,
130860,2012-07-31,7,0.48121309623817177
130860,2012-08-31,8,
130860,2012-09-30,9,
130860,2012-10-31,10,
130860,2012-11-30,11,
130860,2012-12-31,12,
130860,2013-01-31,1,
130860,2013-02-28,2,
130860,2013-03-31,3,
130860,2013-04-30,4,
130860,2013-05-31,5,
130860,2013-06-30,6,-0.45524376190132676
130860,2013-07-31,7,0.03355923923068671
130860,2013-08-31,8,
130860,2013-09-30,9,-0.2269933620177611
130860,2013-10-31,10,
130860,2013-11-30,11,
130860,2013-12-31,12,-0.49678869595694475
130860,2014-01-31,1,
130860,2014-02-28,2,
130860,2014-03-31,3,-0.6741891400433162
130860,2014-04-30,4,
130860,2014-05-31,5,
130860,2014-06-30,6,-0.9376611649186788
130860,2014-07-31,7,
130860,2014-08-31,8,
130860,2014-09-30,9,
130860,2014-10-31,10,-0.758684423671694
130860,2014-11-30,11,
130860,2014-12-31,12,-0.36566211760867695
130860,2015-01-31,1,
130860,2015-02-28,2,
130860,2015-03-31,3,
