,SPEI_1,SPEI_2,SPEI_3,SPEI_4,SPEI_5,SPEI_6,SPEI_7,SPEI_8,SPEI_9,SPEI_10,SPEI_11,SPEI_12,SPEI_13,SPEI_14,SPEI_15,SPEI_16,SPEI_17,SPEI_18,SPEI_19,SPEI_20,SPEI_21,SPEI_22,SPEI_23,SPEI_24,SPEI_25,SPEI_26,SPEI_27,SPEI_28,SPEI_29,SPEI_30,SPEI_31,SPEI_32,SPEI_33,SPEI_34,SPEI_35,SPEI_36,SPEI_37,SPEI_38,SPEI_39,SPEI_40,SPEI_41,SPEI_42,SPEI_43,SPEI_44,SPEI_45,SPEI_46,SPEI_47,SPEI_48
SGI_99215,0.13362680208682098,0.3022787863602746,0.2924238488902717,0.256861287502003,0.31450714863750334,0.3603560435770883,0.37839108667199517,0.40066694729981306,0.3977367379308922,0.4082977319630447,0.40766929684113146,0.4014551034622126,0.3925973029552454,0.37226673433762386,0.3616233628609466,0.3235754226651113,0.33969829143419666,0.3198406372137409,0.3277684731578768,0.3330646437340008,0.3156863974410935,0.33713827662640283,0.3452649020223831,0.31835985896923275,0.3273638792157924,0.3137431101598732,0.29894173378332345,0.3116769515088869,0.31663880223986485,0.30070486449047346,0.3117500947891096,0.32120018390563404,0.3222709020743968,0.330751880514752,0.3341826967236201,0.3584335326127457,0.35784011888058703,0.3646505990301629,0.37725661946854133,0.3879668855011483,0.4145313307020226,0.4183286884797851,0.42388722076989443,0.4502226796926772,0.4536704420415322,0.4490434141660426,0.46179486547963244,0.4715693702652942
SGI_133165,0.027591249927407527,0.08190692400433604,0.07645681486877395,0.060353324214346846,0.06853602049463683,0.057321751707727575,0.06681279866079019,0.08004348035347832,0.04294148288714712,0.0488389112075544,0.04912862570551114,0.00912368896965347,0.003332875584494269,0.004939055622981032,-0.008210508872093843,-0.023820326022002677,-0.013104366171578995,-0.012443817116237642,-0.031023787299198913,-0.034533968156442704,-0.018355151732546843,0.005282074726747176,-0.012934021541081956,-0.045705359197654366,-0.04425838152325365,-0.051904120670506204,-0.0714072980456642,-0.07684735001201963,-0.042143542533631034,-0.04941616565257533,-0.03756554066306197,-0.034800686974623386,-0.034779469666144314,-0.03028782443627074,-0.03173954762585656,-0.04268501843755546,-0.033741387492578365,-0.025694199394786833,-0.012994282191573513,0.0016421017744187687,0.013541255634497752,0.014456199147929663,0.036524645371834356,0.057394232764442256,0.061321716800502836,0.07597342471620323,0.0843929188941219,0.09300929537316399
SGI_133176,0.21704948833877136,0.23043135727880432,0.3754381317302858,0.4277953057068244,0.4506512995404011,0.4871732264742103,0.5023531045181275,0.5339842339072292,0.5588903836835188,0.5824996263014447,0.5701167695203154,0.5736170357639717,0.5389218435232804,0.5206848400542268,0.5098057990581919,0.48943403673797004,0.474346718926028,0.4489064859721348,0.44193787080619296,0.41445492928457334,0.4197915054177587,0.40433501058862853,0.37683950260019916,0.3887689329561256,0.3898737867546764,0.34887672247235957,0.35292991150447056,0.34560607535578075,0.328436621788325,0.3188837838754882,0.3096905775280153,0.3030749875706529,0.298360387160999,0.3096896305634724,0.3085008027296946,0.3172830994875123,0.32563273530835185,0.3376033389774274,0.33911214476002416,0.3619073152905227,0.36419897896494086,0.38369362727127115,0.39857689866592144,0.3967205667502516,0.4069027335099776,0.4129588038375528,0.4004421624690157,0.40921345502652945
SGI_9858,0.1327514873580371,0.15623032647535187,0.1854441067848446,0.19083738113635884,0.22485221327354868,0.2664318023495823,0.2899511353146794,0.34022298190374717,0.321230101861073,0.32309155342631873,0.31810068668714175,0.3201329716727194,0.30123626451852836,0.29920182728725336,0.29372971748587173,0.3032470371474716,0.3256325423746624,0.30280666655283833,0.30179811665650874,0.3277382224593456,0.33228492230565965,0.3658062356730019,0.37797361064887636,0.36700713134629775,0.37647661773427543,0.39239424304035664,0.37769695865347447,0.39200955148642413,0.40443312853815505,0.398824663837473,0.4125981422182723,0.42764738449919815,0.43063573577202496,0.4556812574171145,0.47470448814194904,0.47674184646015483,0.4853573428410605,0.4987298218841141,0.5113414481368389,0.52800813926351,0.532477647712489,0.5381661566967341,0.5399346649946095,0.5517639779384416,0.546758251954716,0.5516698545828571,0.5537680569810474,0.5688074440535881
SGI_135722,-0.0011221133873907541,-0.08198458996388516,-0.016744050752275426,0.06553720094836196,0.06426964625496606,0.07892935935031994,0.10891627444872025,0.12488688567303449,0.15772290926920463,0.21742415741567767,0.2513899998988945,0.29177548678293475,0.3150403166190174,0.31868628809835153,0.34631405015995337,0.3474197893605753,0.3428851028130769,0.34997705205887786,0.3537681578895817,0.34121878851248805,0.3492315449671693,0.3358018222543888,0.3243824279848471,0.33960063358474857,0.3378136472759919,0.32458469744822627,0.338923692181077,0.3359366684983671,0.3283211617219725,0.3315291174827195,0.3288302714407113,0.3257194456882647,0.32821377231517246,0.3301899196383106,0.3375668816214379,0.3324626089382566,0.3392802189520229,0.3382839563310463,0.3467542268277968,0.36149870041936555,0.35343296865455,0.37172925146759067,0.37405034914693625,0.35994091736767736,0.3572578213975882,0.35331892068349335,0.34154784761950163,0.3442579686047288
SGI_135734,-0.028527111456455714,-0.004530867256195656,0.0024235319749097615,0.04534530510573006,0.0850723348137775,0.11087128577341754,0.14721269722534602,0.1867816285865815,0.20939354823792733,0.18099368667036903,0.19031570504641412,0.191138973267008,0.22424322466653113,0.1972893845637161,0.19983052628442502,0.1965104610013744,0.20235431574755697,0.18095127004073655,0.203784912983343,0.23352861049880275,0.23655754346028504,0.24383006741363397,0.2721373836074487,0.2817466782478228,0.3156924631221127,0.3224473624087974,0.32852482532043864,0.3270611348956384,0.3330209905947996,0.34183820531053827,0.37008316551468085,0.37175328276860586,0.3730017951183354,0.36406036414031545,0.3643591177372846,0.3679066211820555,0.37858962778461075,0.38051958443288814,0.39671926333811486,0.4105081415830444,0.41229928017070644,0.40955416223219654,0.41353441444714323,0.4253191916788499,0.4156195713537709,0.42198357306618756,0.40330008385726634,0.3942709343365176
SGI_96132,0.04864384626555839,0.051724344134154575,0.053757506898230806,0.051195550961480964,0.05297542265011661,0.07834937937279492,0.0887074039586875,0.10702039142654558,0.14651927660410563,0.17548074048129575,0.20934699595930256,0.20557923782024448,0.20621182480629427,0.19721063677518558,0.1955411373751698,0.18491572625769911,0.16589241322751774,0.16243347371838132,0.1661743223502678,0.17281712640634211,0.18669388940619688,0.20077738576273504,0.1906610078363575,0.1907446448740224,0.19319541984943975,0.17546602305952902,0.16224709291422534,0.16195380107467175,0.1662916563471992,0.16443360089141607,0.16864316284950323,0.15675756889591339,0.16355921661196146,0.16776956610900653,0.1625100884471109,0.1500340160283049,0.1290355235850378,0.12982683945702594,0.12786523546515458,0.13931777992294483,0.14627709103956124,0.16127470112533576,0.17369140554794396,0.17479723372422487,0.18705401960184884,0.18637109771837423,0.18498953563077594,0.18066533097957538
SGI_96826,0.10163766561887363,0.13379055098041448,0.18631914543077466,0.20092530691653487,0.21756262082474193,0.24619616051365803,0.2660770490784714,0.296414473015209,0.3299115088499546,0.35180750362112717,0.359963086239642,0.3677078110927492,0.3766944384374792,0.3779015202486558,0.382528917240521,0.39057254951423814,0.38785140980002125,0.3759981072928373,0.37525326433211637,0.3835420678609405,0.3982758527397701,0.41012430406534617,0.4098124887000364,0.4133477662219115,0.4223348346369687,0.4332529125517544,0.43651884723870293,0.4438874085528944,0.4486013028159869,0.448898560998023,0.4551275963384028,0.4608256221047119,0.4658951733491047,0.4734649165909081,0.47483918493182337,0.47458680213024784,0.482566792916002,0.48295621304822317,0.4871736145700423,0.489630692605064,0.4919394818826092,0.4944759896054455,0.49546911391936094,0.499031011853881,0.5044429279377323,0.5106498780979999,0.5115773726117095,0.5077361706789492
SGI_135720,0.30458899956698443,0.4723026555748973,0.5453337458586159,0.5767348974355648,0.5389331951125343,0.5757286092974333,0.5549593803139635,0.5449135546638029,0.545470191707854,0.5211270117869525,0.4810382909681686,0.5076684893848236,0.5171313191336938,0.49813743381021297,0.5101834344696454,0.5134922463136711,0.500382591139708,0.4822694046533403,0.48373929857467884,0.4413030889405926,0.46310651544044723,0.4646213744711937,0.4684484234971464,0.43920213296652755,0.4340937969798583,0.39404351391277986,0.43400380658797666,0.4262149689526759,0.4086498505322254,0.41120254910906134,0.4135037976793287,0.4076286166395091,0.39446502790110227,0.36669974493729934,0.3558262946307559,0.3554115289733073,0.3331896515407607,0.3253582285504542,0.31967091747084486,0.31733893386568335,0.29587972303095234,0.3231593155487593,0.31339296168131303,0.30295571277023925,0.3176422704694211,0.32172392166214103,0.31781568297452495,0.3137200329070837
SGI_133172,0.06987735271543755,0.11053347300227198,0.15885439109486446,0.18536640233959112,0.23398187136137447,0.257606636135351,0.2945954355125892,0.34897649621152904,0.3537589027816336,0.3779897627368298,0.40820874597777457,0.4113962078186615,0.43334915330772505,0.43018226971908274,0.40240431241984564,0.4259384461386866,0.45740117877019826,0.4540729151115113,0.47096346880656914,0.49391011907872717,0.5019139741353945,0.5295410710406294,0.5422506775078716,0.5257467048126734,0.5353559916325982,0.5416340624011251,0.5421911180491015,0.5312493045887666,0.5303825847534264,0.5360540518462323,0.5479318923805221,0.553249081048055,0.5520144784916068,0.548981415950646,0.5396535365605118,0.5492715097841887,0.5475775372188751,0.5526746478640048,0.5561269450281968,0.5671699522447632,0.5777584107844954,0.5767176628813859,0.5823071159218464,0.6064581023217755,0.6200509887221611,0.6317786958281728,0.6610871517157315,0.6579645748452657
SGI_148531,0.046945183889479714,0.07758880881553214,0.11711867696038519,0.169590823756025,0.22281726550819356,0.2720452116655592,0.32150436335051547,0.35025649690152766,0.3704812265819908,0.42590882865113094,0.4758387608221315,0.5090695860637118,0.5360275228734663,0.5547449990008987,0.56666068601094,0.5788831936075078,0.5784239210889002,0.57320244240924,0.5905575034825487,0.6167297599700381,0.6114884038920783,0.5963993662249295,0.5867654120534515,0.5838724205807195,0.5706397447551168,0.5589359936978152,0.5448550827766578,0.5360683238489234,0.5146626116604098,0.49492968090523537,0.48691988728475644,0.4724502617127287,0.4652070545062709,0.46331594736482357,0.45831524304326154,0.45953759795691335,0.4589441726125982,0.4512043872557201,0.4490829714424408,0.4478764923088158,0.46051956380625,0.47184180503710715,0.4775142543497752,0.4915203435281437,0.4886587735359471,0.4961732752928238,0.5016119186554444,0.4976138727768317
SGI_129952,0.05652265049074782,0.22026671022950975,0.31235466103252907,0.2950502824854626,0.2837036329945802,0.33545144017832357,0.31745228847075724,0.3032615958724464,0.3281021966052177,0.3327254888262208,0.29126150533542816,0.31284080542528675,0.29788251641735847,0.23877389146176087,0.25158858013374263,0.19571740249320854,0.1687491819686516,0.18870668861870324,0.2035055537569417,0.19735100510854808,0.20513718817635915,0.1804835660561869,0.1726247296188191,0.162348608829996,0.16034605264534965,0.11235063838497557,0.13832324958005685,0.12810593617737287,0.10582741637148275,0.10496233350272824,0.11429510539202649,0.11568741684516615,0.09818332121130263,0.07095570399195607,0.06953473587718735,0.07075889013025902,0.05709747607901938,0.04591210627472924,0.049897703016973285,0.06049446986153719,0.04137344647837628,0.042459932412085524,0.018575979357839414,-0.002773220803845422,0.01838499047889487,0.0032190382844184094,-0.0028243694865803665,-0.0012488387473826956
SGI_32,0.18535758150450327,0.10379495876059751,0.047220334545828156,0.0971614182329026,0.13654619475691973,0.11975535702272057,0.10635859773145102,0.10099191381581214,0.11817178625765054,0.09813151118977227,0.1108898545505569,0.14375580590938813,0.1537734496310988,0.14291289737616975,0.1265086005373814,0.1407308116762701,0.13114210365785398,0.12174791299325749,0.09346558851032974,0.08308883582772128,0.07674956514298428,0.07117340100015504,0.06482914269096111,0.07774709003436697,0.09238454114731093,0.0957898215072514,0.13173845330978237,0.12246363710282457,0.13690219384053937,0.1351697789498897,0.13144884256195416,0.15093356210036685,0.12408788249083519,0.14075838249407807,0.1527839776957351,0.14531035686675478,0.14642455014734926,0.17052438636964265,0.17514043280451605,0.17294837185570258,0.20165713822969644,0.1992698099599594,0.2046796678221402,0.20900323949101002,0.21369743446283337,0.19781313244641988,0.1933462264070103,0.19864457928695886
SGI_139989,0.2071830508587733,0.33297406883988606,0.37203965547420764,0.41192351025011786,0.39415365732457375,0.4415961113964422,0.43263424330244615,0.4216926548240991,0.4150793384260358,0.422193386074922,0.36400719343356824,0.3380106924457241,0.3276150231603474,0.3094154630799092,0.3054570546635676,0.2818823831156791,0.27587238681007065,0.2565429392325733,0.27490389929323517,0.2649552242463979,0.27404288580096653,0.2756708730140078,0.2641273470272974,0.2541870597622383,0.2587859561596975,0.2397185155881221,0.26337232947299744,0.24559280168409026,0.2456460248873955,0.2587813011610773,0.2623025699127703,0.2720150855579314,0.26637322590645923,0.2512842120877696,0.25055920488408817,0.24489724883513644,0.23858666513615112,0.23622912729370218,0.24858497623169049,0.2490893713697145,0.24832117635320816,0.251700044700202,0.24977680616492917,0.25291908869493485,0.2667935192814976,0.26391044846982176,0.25645513211141313,0.26553528106781676
SGI_133162,0.14791718215295885,0.1853012072613426,0.23297196899623743,0.2236324003264121,0.1676509675011177,0.1896373556020563,0.2045322994504567,0.15530531613188203,0.17138030138258356,0.13501285843102084,0.1474156085777872,0.16554726940346703,0.1766031601508328,0.14294918875757645,0.15472761085333614,0.14267417087499287,0.10702326160224679,0.14035103433820464,0.1367515721860243,0.08901587458648672,0.10297932465242551,0.08548022871507598,0.058485974689116114,0.07587979700280646,0.04763549503263532,0.042736779529335175,0.06169764097699122,0.032198112607948526,0.019702690674589046,0.007181031061587292,-0.0014912857190370818,-0.026949079390246225,-0.03843520640051835,-0.0432407105221841,-0.07914830539014923,-0.08402421452398434,-0.07440994999185388,-0.08786158361326807,-0.11096873728988749,-0.09905742234477768,-0.10326817729169846,-0.10226402504928936,-0.09799525516160075,-0.09033239697759415,-0.07190667934798034,-0.0820004523174552,-0.06757155420814459,-0.06732070232921414
