,SPI_1,SPI_2,SPI_3,SPI_4,SPI_5,SPI_6,SPI_7,SPI_8,SPI_9,SPI_10,SPI_11,SPI_12,SPI_13,SPI_14,SPI_15,SPI_16,SPI_17,SPI_18,SPI_19,SPI_20,SPI_21,SPI_22,SPI_23,SPI_24,SPI_25,SPI_26,SPI_27,SPI_28,SPI_29,SPI_30,SPI_31,SPI_32,SPI_33,SPI_34,SPI_35,SPI_36,SPI_37,SPI_38,SPI_39,SPI_40,SPI_41,SPI_42,SPI_43,SPI_44,SPI_45,SPI_46,SPI_47,SPI_48
SGI_133165,-0.006476857316320747,0.04160184304859519,0.043947371624052906,0.017985476033154053,0.019414347937076665,-0.003110374850063497,0.0019040036805716564,0.00484170868985294,-0.03830605091983938,-0.04641573914664428,-0.027890235289298876,-0.0508564829713251,-0.06013661776987521,-0.0749317577515297,-0.08345399942342499,-0.1091169096524325,-0.09942422140879201,-0.11283916152218061,-0.11579309054334748,-0.11923489877907348,-0.09369250978121597,-0.059047291257557886,-0.08510768977776204,-0.11137088844653589,-0.11362023180867196,-0.11619753198249508,-0.13803736969646552,-0.1350556280834948,-0.11047856779282915,-0.10856992868029018,-0.11081000117849164,-0.1243558922449567,-0.12793328686572647,-0.12683121291549904,-0.14984960920715748,-0.1704714871717178,-0.16928597544607885,-0.16861499666881105,-0.1594449533794845,-0.13350159951645488,-0.11644205101877056,-0.11830433581163645,-0.1101367046852402,-0.09933962477538863,-0.09916231950263911,-0.08641372273455099,-0.06842477012742146,-0.07684039686406867
SGI_133176,0.11638544846763926,0.13429638531017823,0.2540682615752515,0.3300591481161002,0.3595858621161586,0.38997966334678846,0.4043882061242464,0.4218363418069099,0.44681270969021514,0.4807706118072427,0.47100710319993766,0.4785012902577841,0.45867850586513864,0.43961109807826704,0.42682714695857904,0.4198021445248823,0.40166459470061117,0.40102624827319666,0.3942267949105197,0.37510512767731785,0.37926927420548523,0.36950789341960494,0.3573473939773584,0.3721634145576493,0.38061724907804223,0.3645639003392795,0.3655458899267855,0.38078002741703293,0.3654575853376598,0.35391202628715596,0.34385487832324024,0.32355439802074626,0.3214595578281143,0.3251194106786242,0.32181703182746646,0.33068153588282934,0.34784667131600566,0.35524191467760285,0.3662001950148854,0.3891774746696709,0.4015167111115935,0.4117525960751852,0.42868579897306763,0.4454179227463144,0.4473904132070253,0.4574060686531591,0.4581103775447397,0.46690253567166234
SGI_9858,0.07637013148480447,0.054266817759347066,0.10770477707189878,0.10405779990599918,0.10667977654990757,0.14752668006762895,0.16547431266442075,0.20148726310312184,0.20285266503303362,0.19447550027305605,0.19610790851178278,0.21309634308922973,0.18883293567113157,0.17260882247057685,0.16038980390224705,0.1713927416043626,0.18813188593139932,0.1910208688841227,0.19178139396278532,0.212761003412282,0.2080852294261616,0.24115604873692495,0.24955346042079368,0.23374567459275145,0.25372685760786406,0.2559299760137736,0.24483339628866133,0.2634808131924422,0.25926565672484625,0.2630632203871865,0.26920056919170177,0.2655105673125334,0.2568765197056865,0.27105695902597476,0.2730044600177581,0.272533719037288,0.2763009123137915,0.28403650267296715,0.3010186100866981,0.3278723583301247,0.32934911834143793,0.3219324170335484,0.3289138094777775,0.3213452562407041,0.3088377190069249,0.334677855623049,0.33721631370590627,0.34414835427315055
SGI_135722,-0.0020881904067494893,-0.08829443099461205,-0.0486862363883609,0.03661460798993316,0.0269779174827705,0.0545626430634433,0.0835333953947215,0.10828153391456531,0.13778300253464376,0.20242829189783507,0.21750410197460768,0.2498363785307732,0.2824373843874383,0.2931576607837122,0.32446992182292766,0.3349426590427557,0.3251480057926471,0.3432385926097914,0.35478143109433286,0.3443616691846391,0.3597880794957553,0.35441927261050543,0.3491602690953522,0.37853748653347924,0.38891390500760853,0.38327251607203117,0.3887675005141464,0.39526901584881385,0.3839448209170086,0.37489760113352244,0.3773681769606961,0.38225635330490904,0.38131628234688897,0.3886239855830552,0.38755773706816976,0.3881269808552495,0.3993683416657538,0.40285893300987746,0.4205074167842644,0.4369008673021963,0.4353356876845912,0.44976712535263896,0.4565884189230264,0.46293678745203276,0.456933240032628,0.45179945088688317,0.45764985150062687,0.46011079545323064
SGI_135734,-0.06878627706352869,-0.0701224008969515,-0.053520146453078815,-0.052687238089386676,-0.03462353795181344,-0.00285733841433275,0.04659852370850758,0.06341093327192295,0.09080050784278061,0.06175090063039765,0.07124065749635297,0.08751900313212316,0.12012389511915496,0.1097780935460716,0.1110640886353833,0.10893747306790083,0.1226033399240348,0.1140833814537673,0.1350487646639254,0.15362339238570794,0.14477566905009864,0.1597872998827537,0.1794300554598266,0.1884204529132906,0.2199437208446944,0.22430684961097985,0.22243280579267252,0.2339643449668454,0.23627797931043465,0.2493885739241072,0.2665056120094285,0.2767260917222341,0.2824600488370962,0.2736373898735424,0.27478649493085844,0.2826952683286944,0.28617343195855693,0.29356934974356397,0.29750638418490505,0.31826161227552047,0.31801675264082396,0.3071272469969971,0.3199081487167082,0.31503023630897414,0.3013643694528402,0.3115655688794492,0.3157667432416834,0.2992705303718919
SGI_96132,-0.0012681639173408282,0.001085350122587755,0.028260108150590726,0.02636320146251036,0.02874362500961054,0.06225065992362826,0.07821483183693693,0.09897573018734143,0.13465047540129335,0.1710919280021186,0.20329833673617578,0.18805901297636235,0.17894950409622498,0.17417157160064584,0.1767980249276006,0.18020698963770407,0.16949914145858072,0.17542051444143553,0.1884216506206272,0.2007214310732195,0.21811565108193304,0.2475862599202112,0.243543853953989,0.23649954296551312,0.23104972706071297,0.22099368694419053,0.20263072467729948,0.20274733254170973,0.2074261697092919,0.2074769987783938,0.20033829094730007,0.19048001435173717,0.19782203845923851,0.2057432576734809,0.19954638259339308,0.19290656848256008,0.1785872935869946,0.1801429193825336,0.1851818313841738,0.19287410621994036,0.20752270222708208,0.22627649305051298,0.23895514227867998,0.24776266668944721,0.25895531313269377,0.2670597732767237,0.2700907234813214,0.2711000435677735
SGI_96826,0.03149144540769423,0.0481186837848695,0.08496228859343534,0.11058548351074042,0.11857314061205866,0.14170245501508624,0.16833096402867495,0.20124175322449644,0.23445256934437586,0.2552641384422744,0.26310327475282763,0.26929039714198233,0.2727097338399211,0.2764850726343166,0.2811821359342135,0.2873147758222333,0.28255912517522563,0.27629251804126453,0.26690548162997463,0.2672917103195268,0.27939167675308174,0.29614653852332645,0.30794573169719147,0.3195131876573252,0.3487602152357329,0.37415204610712266,0.3954308213106437,0.4115680903454209,0.42156227079333053,0.4292260182303673,0.4389280082783548,0.44999392669379473,0.4573464521722938,0.4624077272605993,0.45936081204302104,0.46133486978962107,0.46748318272591255,0.47485436659521124,0.48528627289127996,0.4884384214329682,0.4938168891648672,0.4960159671045107,0.5001857442804103,0.5062023289776564,0.5131988523596986,0.5246450287796349,0.5377943431117606,0.5517317878712623
SGI_135720,0.18516632054228663,0.37005354730204065,0.4537692778937167,0.4867752187202282,0.498549875301077,0.5237582459478296,0.520274225229214,0.527611290667794,0.5289540418659787,0.5254870768785179,0.46900469737797007,0.49989417702027583,0.514239597442453,0.49569846715620197,0.49902898629442466,0.513799249474457,0.5010136531924345,0.4893878466289364,0.4889474986609405,0.48333771363203465,0.4906096571880237,0.5023393486594645,0.49909875974005785,0.48019480753651445,0.4821190041149755,0.48278107658798347,0.5241319215122205,0.5272887822968674,0.5139527510548499,0.5063164350605545,0.48341523968273814,0.4800552606452481,0.4804041278734139,0.47086222155282614,0.4795063762062673,0.47907533136435576,0.4537692778937167,0.44280864484525473,0.4417480884716308,0.449024683590662,0.44361336525155715,0.45767348980714534,0.4480788657720792,0.4528870314367108,0.47494009181983066,0.49188418546158935,0.49672956363055865,0.5038356014380422
SGI_133172,-0.014308377829541148,-0.0053108179897793555,0.03277283690173151,0.05468127606907666,0.10338656694014624,0.11762292544908852,0.16695858767686053,0.22654446039930495,0.23641272573304856,0.2600148327432412,0.3097712820127145,0.32127495236814696,0.35434881384586475,0.3541537952361532,0.33175012208895965,0.3521356358476861,0.37659469185242034,0.37396153601838983,0.40020893695035437,0.4290271848659436,0.42538818616107726,0.45338266252195136,0.4709092520146576,0.4634038677612364,0.47736995151647055,0.4956134973917678,0.4872552101730521,0.4822988243453211,0.48910181792144103,0.4988972547287363,0.5172524710112543,0.5200498956327181,0.5234339944950154,0.5204180842942067,0.5090956760490455,0.51494866195794,0.5110984605263735,0.5079279920083246,0.5052284812946412,0.5211067184720678,0.5256091398182711,0.5234428957593591,0.5354587934174779,0.5320528459972461,0.5324202254528853,0.5433218466563452,0.550847461056002,0.554560097493166
SGI_148531,-0.03640074718094528,-0.009870697524062156,-0.0015828686119667241,0.03832257774286389,0.08295256781986353,0.12405484278810455,0.18182588549888742,0.20813519141675865,0.2031616571264151,0.2465519252568314,0.26529317331682606,0.28288048609658323,0.3133242908607813,0.3405354029541418,0.3424990806703755,0.3615803368591799,0.3700794939005663,0.3685552113046407,0.3917971208112188,0.40808821798606737,0.41597745275331194,0.41551818023470427,0.41247484593714234,0.41697655356258373,0.42538887775876644,0.42227021858343744,0.41245810707541636,0.4122488713038411,0.40592681246569506,0.39141317317037827,0.39858577541997764,0.3911296586998938,0.40045529703900246,0.39790785152007385,0.3881208483046418,0.40131420988131883,0.40462536596649706,0.39770384664278796,0.4033573971907511,0.423296520043014,0.42824285368305276,0.44479026467808097,0.46497314720422905,0.4862932261488886,0.49589087099104506,0.5031126436469646,0.5146268881567503,0.5233980517011846
SGI_129952,0.02960363486424326,0.17401607425618001,0.2662181804226809,0.30159256573050913,0.3208631720037493,0.3561056881847971,0.355918709572198,0.34957915050712735,0.36211655853087776,0.3767441906238939,0.3368862550055314,0.3763505514394747,0.37440203747659984,0.3071468146226635,0.3112209801814019,0.262090873574046,0.22090637390419088,0.23878152926866514,0.25629847297531794,0.28413466790151914,0.29540652594736194,0.28076708467881323,0.25758370491244653,0.24901614806356343,0.24356621355528008,0.2184500653934153,0.23266043995094712,0.24964990715047827,0.24559935994280507,0.23031435041180892,0.22925939739756557,0.22344928303553868,0.23073357614321532,0.2189145596310299,0.21963688753443908,0.21972742454685548,0.20076582503338433,0.21032732082292585,0.21360830342505957,0.22581899092574206,0.218814181639003,0.20101381771956842,0.1834063370004992,0.19456994427062668,0.2118054359604198,0.2117562310623674,0.21894605076578344,0.22209516424113676
SGI_32,0.182030835991742,0.09833350998027726,0.023259786654815907,0.11462059764432816,0.1288777221544153,0.10886487902105003,0.0981065730674877,0.09696690087908298,0.11747351883368266,0.11568046784142227,0.1206232036782235,0.15185321421518713,0.1798637131652131,0.15597049820436917,0.16006035025903823,0.17873651003795066,0.1637137851737273,0.15007013847184056,0.14704514423872256,0.12663827877326114,0.0867821717380657,0.08268733205893974,0.07222828357279223,0.07635803662311658,0.07662986215601836,0.06640024439488885,0.0884305816210756,0.07532809217276394,0.0743854311504073,0.07018585135768617,0.07751017787266358,0.0904705200239532,0.061951283379322056,0.06603864162176264,0.06127795407763874,0.056856424996584956,0.05037251320259746,0.05781404889231234,0.06756236089334969,0.06611345598861633,0.08236812409369729,0.06497378380021161,0.07130307923603478,0.06559723685732578,0.04973160345988408,0.04856948696142325,0.06429297306184292,0.054120712981967925
SGI_139989,0.14759847460231657,0.29128147508234487,0.35112374473861535,0.42398258432481356,0.411764741804735,0.43661810998582246,0.42151678823844424,0.41850995814203945,0.4081973369665553,0.44823263241344613,0.4127356719130379,0.4110344069559738,0.4141242851622712,0.38639965071122123,0.3737274861782009,0.37394487681880206,0.35094787815296047,0.3399562165495311,0.3498316138523455,0.3582951932869861,0.3698828472084681,0.3806339135523557,0.3645140311630597,0.34133505943289466,0.3334613658376381,0.3253312001383015,0.33800336467132186,0.3336274620574233,0.3516733278187868,0.35560467878561336,0.3542991136462727,0.3546679449578544,0.3529544670434532,0.34072319027030373,0.3385419560898899,0.3375930093047938,0.3294909334073327,0.33419780716506786,0.33942861679256653,0.33729257055430006,0.3436567426226857,0.3368260355840212,0.3304594209241682,0.33173323237443225,0.3275405241205908,0.327894699883368,0.32426134507556775,0.32916729003789835
SGI_133162,0.17483197846350798,0.24275265371208424,0.28316067486184876,0.28403059153128707,0.24032539587509297,0.27844162883651746,0.2805139785857199,0.2774675908668761,0.27893760449232335,0.2611149488156332,0.25615631184144755,0.2720029019820263,0.2768036776300976,0.23964021054472456,0.26337538865552496,0.25806072400967733,0.234251653363249,0.26262974579600645,0.2640807264956101,0.23687819712966116,0.24329117355506985,0.24267204367321737,0.20603590059209845,0.22587828557595294,0.20760667676612923,0.22311403299314322,0.23144597617713267,0.21896933349473835,0.1973837564203878,0.17878634870347718,0.16392275320352498,0.14085148832950312,0.12588713028096735,0.11748129456134992,0.1002195504051084,0.0899955104754938,0.07941208412259776,0.06791059899371792,0.05736635807638216,0.058886752976121164,0.0768493566369552,0.0787783996503943,0.08051711340539776,0.097027616782755,0.11072572547075701,0.09123936815856452,0.09614090635521944,0.09491272284637282
